1	16581733
1	16581670
2	16581677
2	16581749
3	16581717
3	16581797
3	16581702
3	16581813
3	16581855
3	16581925
1	16581734
2	16581694
3	16581709
3	16581773
1	16581805
3	16581789
2	16581917
1	16581662
2	16581678
2	16581685
2	16581686
2	16581750
3	16581830
1	16581837
2	16581846
3	16581861
2	16581757
1	16581822
1	16581806
3	16581854
1	16581725
1	16581726
2	16581758
3	16581710
1	16581798
1	16581829
1	16581845
1	16581661
1	16581669
2	16581741
3	16581701
3	16581781
3	16581838
1	16581823
2	16581853
2	16581693
3	16581821
3	16581718
